iter	Passed	Remaining
0	1	192
1	3	187
2	5	167
3	6	153
4	7	151
5	9	144
6	10	139
7	11	134
8	12	129
9	14	126
10	15	124
11	17	128
12	18	126
13	20	123
14	21	121
15	22	119
16	23	116
17	25	114
18	26	111
19	27	110
20	28	107
21	30	106
22	31	104
23	32	103
24	33	101
25	35	100
26	36	98
27	37	97
28	39	96
29	40	95
30	41	93
31	43	92
32	44	90
33	46	89
34	47	88
35	49	87
36	50	85
37	51	84
38	52	82
39	53	80
40	54	78
41	55	76
42	56	74
43	57	72
44	58	71
45	59	69
46	60	68
47	62	68
48	65	67
49	66	66
50	68	66
51	70	64
52	71	63
53	73	62
54	73	60
55	75	59
56	76	57
57	78	56
58	80	55
59	81	54
60	83	53
61	84	51
62	85	50
63	87	48
64	88	47
65	89	46
66	90	44
67	92	43
68	93	42
69	96	41
70	98	40
71	100	38
72	101	37
73	103	36
74	104	34
75	105	33
76	107	32
77	108	30
78	110	29
79	111	27
80	112	26
81	113	24
82	114	23
83	115	22
84	116	20
85	117	19
86	118	17
87	119	16
88	120	14
89	121	13
90	122	12
91	123	10
92	126	9
93	127	8
94	129	6
95	130	5
96	131	4
97	132	2
98	133	1
99	135	0
