iter	Passed	Remaining
0	147	147282
1	148	74117
2	149	49736
3	150	37527
4	151	30200
5	152	25304
6	154	21901
7	156	19349
8	157	17393
9	159	15798
10	161	14491
11	162	13378
12	163	12434
13	164	11617
14	166	10913
15	167	10297
16	168	9753
17	169	9264
18	171	8858
19	172	8468
20	174	8119
21	175	7796
22	176	7505
23	178	7241
24	179	6990
25	180	6755
26	181	6538
27	182	6341
28	183	6154
29	185	5991
30	186	5834
31	187	5681
32	189	5540
33	190	5406
34	191	5282
35	192	5163
36	194	5058
37	195	4953
38	196	4850
39	198	4754
40	199	4667
41	201	4587
42	202	4510
43	203	4429
44	205	4357
45	206	4286
46	207	4217
47	209	4147
48	210	4085
49	211	4025
50	213	3963
51	214	3904
52	215	3856
53	217	3804
54	218	3752
55	219	3704
56	220	3655
57	222	3605
58	223	3558
59	224	3510
60	225	3467
61	226	3424
62	227	3385
63	228	3348
64	230	3314
65	232	3284
66	233	3255
67	235	3224
68	236	3197
69	238	3172
70	240	3143
71	241	3111
72	242	3080
73	243	3050
74	245	3022
75	247	3003
76	248	2979
77	249	2954
78	251	2935
79	252	2909
80	254	2886
81	255	2860
82	256	2829
83	257	2805
84	258	2782
85	259	2760
86	261	2741
87	262	2721
88	263	2700
89	264	2678
90	266	2658
91	267	2638
92	268	2619
93	269	2602
94	271	2582
95	272	2566
96	274	2552
97	275	2538
98	277	2521
99	278	2506
100	279	2492
101	281	2476
102	282	2462
103	284	2450
104	285	2437
105	287	2424
106	289	2412
107	290	2397
108	291	2385
109	293	2371
110	294	2357
111	295	2344
112	297	2332
113	298	2320
114	299	2308
115	301	2297
116	302	2283
117	303	2269
118	305	2258
119	306	2246
120	307	2236
121	308	2223
122	310	2213
123	311	2203
124	313	2193
125	314	2182
126	315	2170
127	317	2162
128	318	2153
129	320	2145
130	322	2138
131	323	2129
132	325	2119
133	326	2108
134	327	2098
135	328	2087
136	329	2075
137	330	2064
138	331	2053
139	332	2041
140	333	2030
141	334	2018
142	335	2009
143	336	2003
144	338	1997
145	340	1992
146	342	1984
147	343	1974
148	344	1967
149	345	1957
150	347	1951
151	348	1944
152	349	1936
153	351	1929
154	352	1922
155	354	1917
156	355	1909
157	356	1901
158	358	1894
159	359	1885
160	359	1875
161	361	1868
162	362	1860
163	363	1852
164	364	1845
165	366	1839
166	367	1832
167	368	1826
168	369	1819
169	371	1813
170	373	1809
171	374	1803
172	376	1799
173	378	1795
174	379	1789
175	381	1784
176	382	1779
177	383	1773
178	385	1766
179	386	1759
180	387	1753
181	388	1746
182	389	1739
183	390	1732
184	391	1725
185	392	1719
186	394	1713
187	395	1710
188	397	1707
189	399	1701
190	400	1695
191	401	1690
192	402	1683
193	403	1676
194	404	1670
195	406	1665
196	407	1662
197	409	1657
198	411	1655
199	412	1651
200	413	1645
201	415	1639
202	416	1633
203	417	1627
204	418	1621
205	419	1616
206	420	1611
207	421	1605
208	422	1600
209	424	1595
210	425	1589
211	426	1583
212	427	1578
213	428	1573
214	429	1568
215	430	1562
216	432	1558
217	433	1555
218	435	1551
219	436	1547
220	438	1544
221	439	1539
222	440	1534
223	441	1529
224	442	1524
225	443	1520
226	444	1515
227	446	1510
228	447	1506
229	448	1502
230	450	1498
231	451	1493
232	452	1490
233	454	1487
234	456	1485
235	457	1482
236	459	1479
237	461	1476
238	462	1472
239	463	1468
240	464	1463
241	465	1458
242	467	1454
243	468	1450
244	469	1445
245	470	1441
246	471	1437
247	472	1434
248	474	1430
249	475	1426
250	476	1423
251	478	1419
252	479	1416
253	481	1413
254	482	1409
255	483	1405
256	484	1401
257	485	1397
258	487	1393
259	488	1391
260	490	1388
261	492	1386
262	493	1384
263	495	1381
264	497	1378
265	498	1374
266	499	1371
267	500	1367
268	502	1364
269	503	1360
270	504	1357
271	505	1354
272	507	1351
273	508	1348
274	510	1345
275	511	1342
276	513	1339
277	514	1336
278	516	1333
279	517	1330
280	518	1327
281	520	1325
282	521	1321
283	523	1319
284	525	1317
285	526	1314
286	527	1310
287	528	1307
288	530	1304
289	531	1301
290	532	1298
291	533	1294
292	535	1291
293	536	1287
294	537	1285
295	539	1283
296	541	1280
297	542	1277
298	543	1274
299	544	1271
300	546	1268
301	547	1265
302	548	1262
303	550	1259
304	551	1256
305	552	1254
306	554	1250
307	555	1248
308	556	1245
309	558	1242
310	559	1239
311	560	1235
